Прораб,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/83229978?from=vacancy_search_list,Магнитогорск,65 000 – 95 000 ₽,25.09.2023
Техник-универсал,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/86961443?from=vacancy_search_list,Магнитогорск,от 50 000 ₽,25.09.2023
Территориальный менеджер по строительству,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/86661118?from=vacancy_search_list,Воронеж,от 65 000 ₽,25.09.2023
Водитель-курьер,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/81211024?from=vacancy_search_list,"Самара, Алабинская",от 101 000 ₽,25.09.2023
Сотрудник ресторана в Додо Пиццу,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/86253681?from=vacancy_search_list,Оренбург,от 41 000 ₽,25.09.2023
Кассир в Додо Пиццу,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/83351795?from=vacancy_search_list,Домодедово,от 70 000 ₽,25.09.2023
Прораб,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/77189028?from=vacancy_search_list,Самара,65 000 – 95 000 ₽,25.09.2023
Кассир в Додо Пиццу,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://adsrv.hh.ru/click?b=550781&c=5&place=35&meta=GFpmQVng6f_MqSDDyrLgiUWT9KhIoDmXpFGtjFUVEtlwBI7qgcYcrG5elqNyacPtWXapBszdeRrmp9lNJoYVwkQaLssyUtENu8IZHaGUXqvFUzx1pLIxTnpVAk4BI_DRcKyfq_TdBXgsvxeL_xqXUvy9b8_UcldEbhsHqvrceMLcLjBA_T37anMmD8eQN8c5y0OanBc04Q3D3azxwwePjEbBxVDl0M3Ku-p0WwfPuKV6GJmy1z-3-yqPJTaUZ8e9E5_nMJ9hRh7xfGw0iAyCVqzMOseQaXvoEgdZWzQsCb8Rm82mD3EwFqtQtBmoQ62-rT30LUxSmW78BLoWP2T12mXR4hE9Q-7Y_WbJVI4XxeYm4bjBt09vYmQ2up_G5YbYBnKgdHabpjBBB3QvHe7jciNB4QN54SCf64szpHLYC3a0bF9zLnMmcO4dvrs197IXndIn7AxuyzvhfNdF6t1-7Jk22SA_sBmGlDsIa-HPfm6LuLW-BKy0ulXYC0cY7x5RDhykpBBYA6doLI019IpfLw%3D%3D&clickType=link_to_vacancy,Балаково,от 34 000 ₽,25.09.2023
Повар в Додо Пиццу,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://adsrv.hh.ru/click?b=495941&c=5&place=36&meta=xU9NH-gQ0oW_61kn-UWPjcE7uN-nHEEe3LFxcg0tNcmSU1gt14zR5lqdSKcdDlJwE1gBMDQcilkG-GnHUv1682-b0M61D2OXBywp7iiJcsSH3FvMEglRGDTn7ndeB-tXegOHx55w2QW1wKHnA8Bs_29pr7yBsshQVBk5tY50B8dty9mOgs0by4czauZvQz7fSfdZrWLETyzqEn_jKLr0lbvZk36Log-g1umN1ncjpnSQC85yJZDZ-YkPqR1iDMNWyhdWvX175lFCS07E0Y-8DrDjOlf__Yhaht7JpcaoR5ScIzK03Ji9RF08PKXiMUQuNXOFw7A7rQ50OE_pp5ydzE2ZwJsC6Vn31-co8Y-xqJvaGlMmCXfIienQT4JpBq8QzwMIDnOXUT664TaVVfLgTETDrDlueUmalVnMIzxxUKTv70UErC08iz99DEUKXWD-zuBzZ88UdRlLmxx3AeuuGlTg_tHOuNGPfsV7GIOvm7GourpG9cT0AzpwQS6UtQpzlA-3FmrH43r5MJxA8YtQHg%3D%3D&clickType=link_to_vacancy,Новокуйбышевск,от 41 000 ₽,25.09.2023
Водитель - Курьер в Додо Пиццу,Додо Пицца (ООО ДОДО ПИЦЦА САМАРА),https://togliatti.hh.ru/vacancy/83452160?from=vacancy_search_list,Волгоград,от 92 000 ₽,25.09.2023
