vacancy,salary,link,city,worker,date
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548056.html,,,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548057.html,Москва,ВкусВилл,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548057.html,,,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548058.html,Москва,ВкусВилл,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548058.html,,,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548059.html,Москва,ВкусВилл,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548059.html,,,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548060.html,Москва,ВкусВилл,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548060.html,,,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548081.html,Москва,ВкусВилл,05.10.2023
Велокурьер,от 60 000 ₽,https://russia.superjob.ru/vakansii/velokurer-47548081.html,,,05.10.2023
vacancy,salary,link,city,worker,date
Курьер на личном авто в Додо Пиццу,до 70 000 ₽,,Тамбов,Додо Пицца Тамбов,05.10.2023
Курьер на личном авто в Додо Пиццу,до 70 000 ₽,https://russia.superjob.ru/vakansii/kurer-na-lichnom-avto-v-dodo-piccu-47412655.html,Тамбов,Додо Пицца Тамбов,05.10.2023
Курьер на личном авто в Додо Пиццу,до 70 000 ₽,https://russia.superjob.ru/vakansii/kurer-na-lichnom-avto-v-dodo-piccu-47412655.html,,,05.10.2023
,,,Тамбов,Додо Пицца Тамбов,05.10.2023
,,,,Додо Пицца Тамбов,05.10.2023
"Повар, пиццамейкер (работник кухни) м. Жулебино, м. Академическая",80 000 — 120 000 ₽,https://russia.superjob.ru/vakansii/povar-47414333.html,МоскваЖулебиноАкадемическая,Domino Pizza,05.10.2023
"Повар, пиццамейкер (работник кухни) м. Жулебино, м. Академическая",80 000 — 120 000 ₽,https://russia.superjob.ru/vakansii/povar-47414333.html,,,05.10.2023
,,,МоскваЖулебиноАкадемическая,Domino Pizza,05.10.2023
,,,,Domino Pizza,05.10.2023
Жестянщик цеха ЗШП,от 35 000 ₽,https://russia.superjob.ru/vakansii/zhestyanschik-ceha-zshp-47502645.html,Казань,Казанский Вертолетный Завод,05.10.2023
Жестянщик цеха ЗШП,от 35 000 ₽,https://russia.superjob.ru/vakansii/zhestyanschik-ceha-zshp-47502645.html,,,05.10.2023
,,,Казань,Казанский Вертолетный Завод,05.10.2023
,,,,Казанский Вертолетный Завод,05.10.2023
Кассир,2250 — 2880 ₽,https://russia.superjob.ru/vakansii/kassir-47589792.html,МоскваМякинино,Франклинс Бургер,05.10.2023
Кассир,2250 — 2880 ₽,https://russia.superjob.ru/vakansii/kassir-47589792.html,,,05.10.2023
,,,МоскваМякинино,Франклинс Бургер,05.10.2023
,,,,Франклинс Бургер,05.10.2023
Курьер,30 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/kurer-46305941.html,Белореченск,Ип Василенко Ольга Александровна,05.10.2023
Курьер,30 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/kurer-46305941.html,,,05.10.2023
,,,Белореченск,Ип Василенко Ольга Александровна,05.10.2023
,,,,Ип Василенко Ольга Александровна,05.10.2023
Менеджер смены пиццерии Папа Джонс Электросталь,65 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/menedzher-smeny-piccerii-papa-dzhons-elektrostal-47406402.html,Электросталь,ПАПА ДЖОНС Московская область,05.10.2023
Менеджер смены пиццерии Папа Джонс Электросталь,65 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/menedzher-smeny-piccerii-papa-dzhons-elektrostal-47406402.html,,,05.10.2023
,,,Электросталь,ПАПА ДЖОНС Московская область,05.10.2023
,,,,ПАПА ДЖОНС Московская область,05.10.2023
Бармен-кассир,от 70 000 ₽,https://russia.superjob.ru/vakansii/barmen-kassir-47291992.html,Москва13 минутПрофсоюзная и ещё 2 станции,ТИКОМПАНИ,05.10.2023
Бармен-кассир,от 70 000 ₽,https://russia.superjob.ru/vakansii/barmen-kassir-47291992.html,,,05.10.2023
,,,Москва13 минутПрофсоюзная и ещё 2 станции,ТИКОМПАНИ,05.10.2023
,,,,ТИКОМПАНИ,05.10.2023
Пиццамейкер,45 000 — 75 000 ₽,https://russia.superjob.ru/vakansii/piccamejker-47357572.html,Москва,ПРОФИТ-2,05.10.2023
Пиццамейкер,45 000 — 75 000 ₽,https://russia.superjob.ru/vakansii/piccamejker-47357572.html,,,05.10.2023
,,,Москва,ПРОФИТ-2,05.10.2023
,,,,ПРОФИТ-2,05.10.2023
Водитель-курьер на своем автомобиле,80 000 — 120 000 ₽,https://russia.superjob.ru/vakansii/voditel-kurer-na-svoem-avtomobile-46857396.html,Анапа,Додо пицца (ИП Реук Сергей Николаевич),05.10.2023
Водитель-курьер на своем автомобиле,80 000 — 120 000 ₽,https://russia.superjob.ru/vakansii/voditel-kurer-na-svoem-avtomobile-46857396.html,,,05.10.2023
,,,Анапа,Додо пицца (ИП Реук Сергей Николаевич),05.10.2023
,,,,Додо пицца (ИП Реук Сергей Николаевич),05.10.2023
Заведующий складом супермаркета,55 900 — 62 400 ₽,https://russia.superjob.ru/vakansii/zaveduyuschij-skladom-supermarketa-46507747.html,Москва,Азбука вкуса,05.10.2023
Заведующий складом супермаркета,55 900 — 62 400 ₽,https://russia.superjob.ru/vakansii/zaveduyuschij-skladom-supermarketa-46507747.html,,,05.10.2023
,,,Москва,Азбука вкуса,05.10.2023
,,,,Азбука вкуса,05.10.2023
Сантехник-плотник по обслуживанию зданий,63 000 — 93 000 ₽,https://russia.superjob.ru/vakansii/santehnik-plotnik-po-obsluzhivaniyu-zdanij-47466519.html,Сургут,РУСЭЛВ,05.10.2023
Сантехник-плотник по обслуживанию зданий,63 000 — 93 000 ₽,https://russia.superjob.ru/vakansii/santehnik-plotnik-po-obsluzhivaniyu-zdanij-47466519.html,,,05.10.2023
,,,Сургут,РУСЭЛВ,05.10.2023
,,,,РУСЭЛВ,05.10.2023
Курьер по доставке еды,60 000 — 70 000 ₽,https://russia.superjob.ru/vakansii/kurer-po-dostavke-edy-46678987.html,Самара,"РЕСТОРАН ""ФАРФОР"" ПОВОЛЖЬЕ",05.10.2023
Курьер по доставке еды,60 000 — 70 000 ₽,https://russia.superjob.ru/vakansii/kurer-po-dostavke-edy-46678987.html,,,05.10.2023
,,,Самара,"РЕСТОРАН ""ФАРФОР"" ПОВОЛЖЬЕ",05.10.2023
,,,,"РЕСТОРАН ""ФАРФОР"" ПОВОЛЖЬЕ",05.10.2023
Кассир-пиццамейкер,до 67 000 ₽,https://russia.superjob.ru/vakansii/kassir-piccamejker-37734539.html,Колпино,Додо Пицца,05.10.2023
Кассир-пиццамейкер,до 67 000 ₽,https://russia.superjob.ru/vakansii/kassir-piccamejker-37734539.html,,,05.10.2023
,,,Колпино,Додо Пицца,05.10.2023
,,,,Додо Пицца,05.10.2023
Кладовщик ПДБ,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/kladovschik-pdb-47168118.html,Казань,Казанский Вертолетный Завод,05.10.2023
Кладовщик ПДБ,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/kladovschik-pdb-47168118.html,,,05.10.2023
Штамповщик,35 000 — 54 000 ₽,https://russia.superjob.ru/vakansii/shtampovschik-47167855.html,Казань,Казанский Вертолетный Завод,05.10.2023
Штамповщик,35 000 — 54 000 ₽,https://russia.superjob.ru/vakansii/shtampovschik-47167855.html,,,05.10.2023
Резчик металла на ножницах и прессах,от 35 000 ₽,https://russia.superjob.ru/vakansii/rezchik-metalla-na-nozhnicah-i-pressah-47164762.html,Казань,Казанский Вертолетный Завод,05.10.2023
Резчик металла на ножницах и прессах,от 35 000 ₽,https://russia.superjob.ru/vakansii/rezchik-metalla-na-nozhnicah-i-pressah-47164762.html,,,05.10.2023
Пиццамейкер-повар,от 25 000 ₽,https://russia.superjob.ru/vakansii/piccamejker-povar-46305789.html,Белореченск,Ип Василенко Ольга Александровна,05.10.2023
Пиццамейкер-повар,от 25 000 ₽,https://russia.superjob.ru/vakansii/piccamejker-povar-46305789.html,,,05.10.2023
Программист 1С,от 130 000 ₽,https://russia.superjob.ru/vakansii/programmist-1s-46438093.html,Казань,Казанский вертолётный завод,05.10.2023
Программист 1С,от 130 000 ₽,https://russia.superjob.ru/vakansii/programmist-1s-46438093.html,,,05.10.2023
,,,Казань,Казанский вертолётный завод,05.10.2023
,,,,Казанский вертолётный завод,05.10.2023
Автокурьер,30 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/avtokurer-47338249.html,Каневская,Василенко Ольга Александровна,05.10.2023
Автокурьер,30 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/avtokurer-47338249.html,,,05.10.2023
,,,Каневская,Василенко Ольга Александровна,05.10.2023
,,,,Василенко Ольга Александровна,05.10.2023
Распределитель работ на участке термообработки,20 000 — 30 000 ₽,https://russia.superjob.ru/vakansii/raspredelitel-rabot-na-uchastke-termoobrabotki-47228157.html,Казань,Казанский Вертолетный Завод,05.10.2023
Распределитель работ на участке термообработки,20 000 — 30 000 ₽,https://russia.superjob.ru/vakansii/raspredelitel-rabot-na-uchastke-termoobrabotki-47228157.html,,,05.10.2023
Мастер производственного обучения,45 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/master-proizvodstvennogo-obucheniya-45318949.html,Казань,Казанский Вертолетный Завод,05.10.2023
Мастер производственного обучения,45 000 — 50 000 ₽,https://russia.superjob.ru/vakansii/master-proizvodstvennogo-obucheniya-45318949.html,,,05.10.2023
Комплектовщик изделий и инструмента на участке шаблонов,20 000 — 24 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-izdelij-i-instrumenta-na-uchastke-shablonov-47219542.html,Казань,Казанский Вертолетный Завод,05.10.2023
Комплектовщик изделий и инструмента на участке шаблонов,20 000 — 24 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-izdelij-i-instrumenta-na-uchastke-shablonov-47219542.html,,,05.10.2023
Модельщик аэрогидродинамических моделей из неметалла,35 000 ₽,https://russia.superjob.ru/vakansii/modelschik-aerogidrodinamicheskih-modelej-iz-nemetalla-47156520.html,Казань,Казанский Вертолетный Завод,05.10.2023
Модельщик аэрогидродинамических моделей из неметалла,35 000 ₽,https://russia.superjob.ru/vakansii/modelschik-aerogidrodinamicheskih-modelej-iz-nemetalla-47156520.html,,,05.10.2023
Мастер трубогибочного участка,60 000 — 70 000 ₽,https://russia.superjob.ru/vakansii/master-trubogibochnogo-uchastka-47156134.html,Казань,Казанский Вертолетный Завод,05.10.2023
Мастер трубогибочного участка,60 000 — 70 000 ₽,https://russia.superjob.ru/vakansii/master-trubogibochnogo-uchastka-47156134.html,,,05.10.2023
Оператор-наладчик фрезерного станка с ПУ (3-координатный),65 000 — 95 000 ₽,https://russia.superjob.ru/vakansii/operator-naladchik-frezernogo-stanka-s-pu-47151938.html,Казань,Казанский Вертолетный Завод,05.10.2023
Оператор-наладчик фрезерного станка с ПУ (3-координатный),65 000 — 95 000 ₽,https://russia.superjob.ru/vakansii/operator-naladchik-frezernogo-stanka-s-pu-47151938.html,,,05.10.2023
Жестянщик,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/zhestyanschik-47150501.html,Казань,Казанский Вертолетный Завод,05.10.2023
Жестянщик,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/zhestyanschik-47150501.html,,,05.10.2023
Комплектовщик авиационной техники (оператор ЭВМ),23 000 — 25 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-aviacionnoj-tehniki-47150369.html,Казань,Казанский Вертолетный Завод,05.10.2023
Комплектовщик авиационной техники (оператор ЭВМ),23 000 — 25 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-aviacionnoj-tehniki-47150369.html,,,05.10.2023
Слесарь механосборочных работ сварочного участка,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/slesar-mehanosborochnyh-rabot-svarochnogo-uchastka-47149972.html,Казань,Казанский Вертолетный Завод,05.10.2023
Слесарь механосборочных работ сварочного участка,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/slesar-mehanosborochnyh-rabot-svarochnogo-uchastka-47149972.html,,,05.10.2023
Менеджер смены,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/menedzher-smeny-47036495.html,Белореченск,Василенко Ольга Александровна,05.10.2023
Менеджер смены,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/menedzher-smeny-47036495.html,,,05.10.2023
,,,Белореченск,Василенко Ольга Александровна,05.10.2023
Управляющий пиццерией,40 000 — 60 000 ₽,https://russia.superjob.ru/vakansii/upravlyayuschij-picceriej-47036375.html,Усть-Лабинск,Василенко Ольга Александровна,05.10.2023
Управляющий пиццерией,40 000 — 60 000 ₽,https://russia.superjob.ru/vakansii/upravlyayuschij-picceriej-47036375.html,,,05.10.2023
,,,Усть-Лабинск,Василенко Ольга Александровна,05.10.2023
Паяльщик,30 000 — 38 000 ₽,https://russia.superjob.ru/vakansii/payalschik-47143156.html,Казань,Казанский вертолётный завод,05.10.2023
Паяльщик,30 000 — 38 000 ₽,https://russia.superjob.ru/vakansii/payalschik-47143156.html,,,05.10.2023
Электрогазосварщик КАС,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/elektrogazosvarschik-kas-47141492.html,Казань,Казанский вертолётный завод,05.10.2023
