Job Title,Salary,Link,City,Scrape Time
Повар без опыта,от 45 000 ₽,https://www.avito.ru/arzamas/vakansii/povar_bez_opyta_3298825747,"Нижегородская область, Арзамас",28.09.2023
Повар - продавец,до 40 000 ₽,https://www.avito.ru/orenburg/vakansii/povar_-_prodavets_3428518112,"Оренбургская область, Оренбург",28.09.2023
Продавец консультант,до 45 000 ₽,https://www.avito.ru/tyumen/vakansii/prodavets_konsultant_3459983239,"Тюменская область, Тюмень",28.09.2023
Кладовщик на производство,65 000 ₽,https://www.avito.ru/selyatino/vakansii/kladovschik_na_proizvodstvo_3184908894,"Московская область, Наро-Фоминский г.о., рабочий пос. Селятино",28.09.2023
Бухгалтер на первичную документацию,от 20 000 ₽,https://www.avito.ru/perm/vakansii/buhgalter_na_pervichnuyu_dokumentatsiyu_3460313968,"Пермский край, Пермь",28.09.2023
Подработка. Без опыта,до 45 000 ₽,https://www.avito.ru/kazan/vakansii/podrabotka._bez_opyta_3364040351,"Республика Татарстан, Казань",28.09.2023
Подработка для студентов (г Клин ),до 45 000 ₽,https://www.avito.ru/klin/vakansii/podrabotka_dlya_studentov_g_klin_3313730848,"Московская область, Клин",28.09.2023
"Работа без опыта, с обучением",до 40 000 ₽,https://www.avito.ru/orenburg/vakansii/rabota_bez_opyta_s_obucheniem_3428553055,"Оренбургская область, Оренбург",28.09.2023
Ночной мойщик оборудования,до 60 000 ₽,https://www.avito.ru/tyumen/vakansii/nochnoy_moyschik_oborudovaniya_3459924475,"Тюменская область, Тюмень",28.09.2023
Повар сушист (ТЦ Армада),43 000 — 60 000 ₽,https://www.avito.ru/voronezh/vakansii/povar_sushist_tts_armada_3052971915,"Воронежская область, Воронеж",28.09.2023
Работник ресторана,до 2 500 ₽,https://www.avito.ru/zelenokumsk/vakansii/rabotnik_restorana_3507338773,"Ставропольский край, Советский муниципальный округ, Зеленокумск",28.09.2023
Сотрудник-универсал ресторана KFC,до 37 000 ₽,https://www.avito.ru/nazran/vakansii/sotrudnik-universal_restorana_kfc_2490976777,"Республика Ингушетия, Назрань",28.09.2023
Работа для студентов,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/rabota_dlya_studentov_3459937661,"Свердловская область, Екатеринбург",28.09.2023
Упаковщик чипсов Вахта Питание/Проживание,3 160 ₽ за смену,https://www.avito.ru/stupino/vakansii/upakovschik_chipsov_vahta_pitanieprozhivanie_3158616296,"Московская область, Ступино",28.09.2023
Повар в Гипермаркет,36 500 — 50 600 ₽,https://www.avito.ru/dzerzhinsk/vakansii/povar_v_gipermarket_3393155422,"Нижегородская область, Дзержинск",28.09.2023
Повар кассир,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/povar_kassir_3459985904,"Свердловская область, Екатеринбург",28.09.2023
Продавец - повар,до 38 000 ₽,https://www.avito.ru/sterlitamak/vakansii/prodavets_-_povar_3427814787,"Республика Башкортостан, Стерлитамак",28.09.2023
Работа без опыта официант,до 35 000 ₽,https://www.avito.ru/perm/vakansii/rabota_bez_opyta_ofitsiant_3428374231,"Пермский край, Пермь",28.09.2023
