id,name,description
,,
,,
,,
,,
,,
,,
,,
,,
77279982,Менеджер ресторана (м. Авиамоторная),"<p>Компания БУРГЕР КИНГ РОССИЯ приглашает в команду <strong>Менеджера ресторана</strong>.</p> <p> </p> <p>Немного о нас:</p> <p>Бургер Кинг работает на свою идеальную репутацию с 1954 года.</p> <p>Наши рестораны представлены в 80 странах мира. На данный момент в России уже открыто более 700 ресторанов, и мы на этом не останавливаемся!</p> <p> </p> <p>Если ты присоединишься к нам на позицию в ресторан, ты никогда не будешь испытывать нехватку возможностей, чтобы проявить себя!</p> <p> </p> <p> </p> <p><strong>МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!</strong></p> <p> </p> <p><strong>Новым сотрудником нашей Команды Мечты можешь стать ты, если у тебя:</strong></p> <ul> <li><strong>Б</strong>лестящие коммуникативные навыки;</li> </ul> <ul> <li><strong>У</strong>спешный опыт работы в сфере общепит (желательно фаст-фуд) на позиции менеджера/администратора от 1 года;</li> <li><strong>Р</strong>азвитый уровень организованности;</li> <li><strong>Г</strong>отовность работать в режиме многофункциональности;</li> <li><strong>Е</strong>ще и активность; мобильность; оперативность; ответственность, доброжелательность;</li> <li><strong>Р</strong>еальный позитивный настрой.</li> </ul> <p> </p> <p><strong>Тебе предстоит решать следующие задачи:</strong></p> <ul> <li>Организация работы ресторана (управление сменой);</li> <li>Контроль соблюдения технологических процессов;</li> <li>Контроль соблюдения стандартов компании и санитарных норм.</li> </ul> <p> </p> <p><strong>Мы предлагаем тебе:</strong></p> <p> </p> <ul> <li>Гордиться собой: работа в крупной международной компании;</li> <li>Находиться в команде лучших: сплоченный коллектив единомышленников;</li> <li>Быть уверенным в завтрашнем дне: оформление по ТК РФ, белая заработная плата; (оклад + ежемесячные премии)</li> <li>Заботиться о себе: униформа, вкусное питание;</li> <li>Развиваться вместе с нами: стремительный карьерный рост и постоянное профессиональное развитие;</li> <li>Решать интересные задачи: участие в реализации федеральных проектов компании;</li> <li>Работать рядом с домом по графику: 5/2 (смены: утро, день, вечер, ночь), выходные плавающие.</li> </ul> <p> </p> <p> </p> <p><strong>ПОЛУЧАЙ УДОВОЛЬСТВИЕ ОТ СВОЕЙ РАБОТЫ ВМЕСТЕ С НАМИ!</strong></p>"
,,
,,
